Time,Source,Label,Confidence
10:24:54,Camera,person,0.89
10:24:54,Camera,person,0.89
10:24:54,Camera,person,0.89
10:24:54,Camera,person,0.89
10:24:54,Camera,person,0.89
10:24:54,Camera,person,0.90
10:24:54,Camera,laptop,0.33
10:24:55,Camera,person,0.89
10:24:55,Camera,person,0.90
10:24:55,Camera,person,0.89
10:24:55,Camera,person,0.89
10:24:55,Camera,person,0.89
10:24:55,Camera,person,0.89
10:24:55,Camera,person,0.89
10:24:55,Camera,person,0.90
10:24:55,Camera,person,0.90
10:24:55,Camera,laptop,0.30
10:24:55,Camera,person,0.90
10:24:55,Camera,laptop,0.30
10:24:55,Camera,person,0.90
10:24:56,Camera,person,0.90
10:24:56,Camera,person,0.90
10:24:56,Camera,person,0.89
10:24:56,Camera,laptop,0.28
10:24:56,Camera,person,0.89
10:24:56,Camera,laptop,0.25
10:24:56,Camera,person,0.89
10:24:56,Camera,person,0.89
10:24:56,Camera,person,0.89
10:24:56,Camera,person,0.88
10:24:56,Camera,laptop,0.27
10:24:56,Camera,person,0.88
10:24:56,Camera,laptop,0.41
10:24:56,Camera,person,0.89
10:24:56,Camera,person,0.84
10:24:56,Camera,laptop,0.36
10:24:57,Camera,person,0.72
10:24:57,Camera,person,0.79
10:24:57,Camera,person,0.56
10:24:57,Camera,person,0.72
10:24:57,Camera,person,0.46
10:24:57,Camera,person,0.82
10:24:57,Camera,person,0.66
10:24:57,Camera,person,0.80
10:24:57,Camera,person,0.59
10:24:57,Camera,person,0.68
10:24:57,Camera,person,0.38
10:24:57,Camera,person,0.31
10:24:57,Camera,person,0.74
10:24:57,Camera,person,0.66
10:24:57,Camera,person,0.35
10:24:57,Camera,person,0.34
10:24:57,Camera,person,0.76
10:24:57,Camera,person,0.70
10:24:57,Camera,person,0.37
10:24:57,Camera,person,0.83
10:24:57,Camera,person,0.72
10:24:57,Camera,person,0.40
10:24:57,Camera,person,0.75
10:24:57,Camera,person,0.50
10:24:58,Camera,person,0.68
10:24:58,Camera,person,0.66
10:24:58,Camera,person,0.84
10:24:58,Camera,person,0.83
10:24:58,Camera,person,0.84
10:24:58,Camera,person,0.82
10:24:58,Camera,person,0.89
10:24:58,Camera,person,0.62
10:24:58,Camera,person,0.87
10:24:58,Camera,person,0.56
10:24:58,Camera,person,0.88
10:24:58,Camera,person,0.75
10:24:58,Camera,person,0.91
10:24:58,Camera,person,0.70
10:24:58,Camera,person,0.90
10:24:58,Camera,person,0.75
10:24:58,Camera,person,0.85
10:24:58,Camera,person,0.75
10:24:58,Camera,person,0.89
10:24:58,Camera,person,0.73
10:24:58,Camera,person,0.76
10:24:58,Camera,person,0.40
10:24:59,Camera,person,0.86
10:24:59,Camera,person,0.89
10:24:59,Camera,person,0.91
10:24:59,Camera,person,0.91
10:24:59,Camera,person,0.91
10:24:59,Camera,person,0.87
10:24:59,Camera,person,0.86
10:24:59,Camera,person,0.88
10:24:59,Camera,person,0.87
10:24:59,Camera,person,0.88
10:24:59,Camera,person,0.88
10:25:00,Camera,person,0.87
10:25:00,Camera,person,0.88
10:25:00,Camera,person,0.87
10:25:00,Camera,person,0.87
10:25:00,Camera,person,0.88
10:25:00,Camera,person,0.88
10:25:00,Camera,person,0.88
10:25:00,Camera,person,0.88
10:25:00,Camera,person,0.85
10:25:00,Camera,person,0.87
10:25:00,Camera,person,0.87
10:25:01,Camera,person,0.87
10:25:01,Camera,person,0.87
10:25:01,Camera,person,0.87
10:25:01,Camera,person,0.88
10:25:01,Camera,person,0.86
10:25:01,Camera,person,0.86
10:25:01,Camera,person,0.87
10:25:01,Camera,person,0.87
10:25:01,Camera,person,0.88
10:25:01,Camera,person,0.89
10:25:01,Camera,person,0.88
10:25:01,Camera,person,0.88
10:25:02,Camera,person,0.87
10:25:02,Camera,person,0.89
10:25:02,Camera,person,0.87
10:25:02,Camera,person,0.88
10:25:02,Camera,person,0.88
10:25:02,Camera,person,0.87
10:25:02,Camera,person,0.85
10:25:02,Camera,person,0.84
10:25:02,Camera,person,0.85
10:25:02,Camera,person,0.86
10:25:02,Camera,person,0.86
10:25:03,Camera,person,0.83
10:25:03,Camera,person,0.85
10:25:03,Camera,person,0.91
10:25:03,Camera,person,0.88
10:25:03,Camera,person,0.89
10:25:03,Camera,person,0.90
10:25:03,Camera,person,0.91
10:25:03,Camera,person,0.88
10:25:03,Camera,person,0.92
10:25:03,Camera,person,0.92
10:25:03,Camera,person,0.92
10:25:03,Camera,person,0.91
