Time,Source,Label,Confidence
18:54:18,Test,Juice Global Village pineapple,0.02
18:54:18,Test,Juice Global Village pineapple,0.01
18:55:17,Camera,Juice Global Village pineapple,0.02
18:55:17,Camera,Juice Global Village pineapple,0.01
18:55:17,Camera,Juice Global Village pineapple,0.02
18:55:17,Camera,Juice Global Village pineapple,0.02
18:55:17,Camera,Juice Global Village pineapple,0.02
18:55:17,Camera,Juice Global Village pineapple,0.01
18:55:17,Camera,Juice Global Village pineapple,0.01
18:55:17,Camera,Juice Global Village pineapple,0.02
18:55:17,Camera,Juice Global Village pineapple,0.01
18:55:17,Camera,Juice Global Village pineapple,0.01
18:55:17,Camera,Juice Global Village pineapple,0.02
18:55:17,Camera,Juice Global Village pineapple,0.01
18:55:17,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.02
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.02
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.02
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:18,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.02
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:19,Camera,Juice Global Village pineapple,0.01
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.01
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.01
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.01
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.01
18:55:20,Camera,Juice Global Village pineapple,0.01
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.01
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.01
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.02
18:55:20,Camera,Juice Global Village pineapple,0.01
18:55:21,Camera,Juice Global Village pineapple,0.02
18:55:21,Camera,Juice Global Village pineapple,0.01
18:55:21,Camera,Juice Global Village pineapple,0.02
18:55:21,Camera,Juice Global Village pineapple,0.02
18:55:21,Camera,Juice Global Village pineapple,0.01
18:55:21,Camera,Juice Global Village pineapple,0.02
18:55:21,Camera,Juice Global Village pineapple,0.02
18:55:21,Camera,Juice Global Village pineapple,0.01
18:55:21,Camera,Juice Global Village pineapple,0.02
18:55:21,Camera,Juice Global Village pineapple,0.01
18:55:21,Camera,Juice Global Village pineapple,0.02
18:55:21,Camera,Juice Global Village pineapple,0.01
18:55:21,Camera,Juice Global Village pineapple,0.02
18:55:21,Camera,Juice Global Village pineapple,0.01
18:55:21,Camera,Juice Global Village pineapple,0.02
18:55:21,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.02
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.02
18:55:22,Camera,Juice Global Village pineapple,0.02
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.02
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.02
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.02
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.02
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.02
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.02
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.02
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:22,Camera,Juice Global Village pineapple,0.02
18:55:22,Camera,Juice Global Village pineapple,0.01
18:55:23,Camera,Juice Global Village pineapple,0.02
18:55:23,Camera,Juice Global Village pineapple,0.01
18:55:23,Camera,Juice Global Village pineapple,0.02
18:55:23,Camera,Juice Global Village pineapple,0.01
18:55:23,Camera,Juice Global Village pineapple,0.02
18:55:23,Camera,Juice Global Village pineapple,0.01
18:55:23,Camera,Juice Global Village pineapple,0.02
18:55:23,Camera,Juice Global Village pineapple,0.01
18:55:23,Camera,Juice Global Village pineapple,0.01
18:55:23,Camera,Juice Global Village pineapple,0.02
18:55:23,Camera,Juice Global Village pineapple,0.01
18:55:23,Camera,Juice Global Village pineapple,0.01
18:55:23,Camera,Juice Global Village pineapple,0.02
18:55:23,Camera,Juice Global Village pineapple,0.02
18:55:23,Camera,Juice Global Village pineapple,0.02
18:55:23,Camera,Juice Global Village pineapple,0.01
18:55:23,Camera,Juice Global Village pineapple,0.02
18:55:23,Camera,Juice Global Village pineapple,0.01
18:55:23,Camera,Juice Global Village pineapple,0.02
18:55:23,Camera,Juice Global Village pineapple,0.01
18:55:23,Camera,Juice Global Village pineapple,0.02
18:55:23,Camera,Juice Global Village pineapple,0.01
18:55:24,Camera,Juice Global Village pineapple,0.02
18:55:24,Camera,Juice Global Village pineapple,0.01
18:55:24,Camera,Juice Global Village pineapple,0.02
18:55:24,Camera,Juice Global Village pineapple,0.01
18:55:24,Camera,Juice Global Village pineapple,0.03
18:55:24,Camera,Juice Global Village pineapple,0.01
18:55:24,Camera,Juice Global Village pineapple,0.02
18:55:24,Camera,Juice Global Village pineapple,0.01
18:55:24,Camera,Juice Global Village pineapple,0.02
18:55:24,Camera,Juice Global Village pineapple,0.02
18:55:24,Camera,Juice Global Village pineapple,0.02
18:55:24,Camera,Juice Global Village pineapple,0.02
18:55:24,Camera,Juice Global Village pineapple,0.02
18:55:24,Camera,Juice Global Village pineapple,0.01
18:55:24,Camera,Juice Global Village pineapple,0.02
18:55:24,Camera,Juice Global Village pineapple,0.01
18:55:24,Camera,Juice Global Village pineapple,0.02
18:55:24,Camera,Juice Global Village pineapple,0.01
18:55:24,Camera,Juice Global Village pineapple,0.01
18:55:25,Camera,Juice Global Village pineapple,0.02
18:55:25,Camera,Juice Global Village pineapple,0.02
18:55:25,Camera,Juice Global Village pineapple,0.01
18:55:25,Camera,Juice Global Village pineapple,0.02
18:55:25,Camera,Juice Global Village pineapple,0.01
18:55:25,Camera,Juice Global Village pineapple,0.02
18:55:25,Camera,Juice Global Village pineapple,0.01
18:55:25,Camera,Juice Global Village pineapple,0.01
18:55:25,Camera,Juice Global Village pineapple,0.01
18:55:25,Camera,Juice Global Village pineapple,0.01
18:55:25,Camera,Juice Global Village pineapple,0.01
18:55:25,Camera,Juice Global Village pineapple,0.01
18:55:25,Camera,Juice Global Village pineapple,0.01
18:55:26,Camera,Juice Global Village pineapple,0.01
18:55:26,Camera,Juice Global Village pineapple,0.01
18:55:26,Camera,Juice Global Village pineapple,0.01
18:55:26,Camera,Juice Global Village pineapple,0.01
18:55:26,Camera,Juice Global Village pineapple,0.01
18:55:27,Camera,Juice Global Village pineapple,0.01
18:55:27,Camera,Juice Global Village pineapple,0.01
18:55:27,Camera,Juice Global Village pineapple,0.01
18:55:27,Camera,Juice Global Village pineapple,0.01
18:55:27,Camera,Juice Global Village pineapple,0.01
18:55:27,Camera,Juice Global Village pineapple,0.01
18:55:27,Camera,Juice Global Village pineapple,0.01
18:55:28,Camera,Juice Global Village pineapple,0.01
18:55:28,Camera,Juice Global Village pineapple,0.01
18:55:28,Camera,Juice Global Village pineapple,0.01
18:55:28,Camera,Juice Global Village pineapple,0.01
18:55:28,Camera,Juice Global Village pineapple,0.01
18:55:28,Camera,Juice Global Village pineapple,0.01
18:55:28,Camera,Juice Global Village pineapple,0.01
18:55:28,Camera,Juice Global Village pineapple,0.01
18:55:28,Camera,Juice Global Village pineapple,0.01
18:55:29,Camera,Juice Global Village pineapple,0.01
18:55:29,Camera,Juice Global Village pineapple,0.01
18:55:29,Camera,Juice Global Village pineapple,0.01
18:55:29,Camera,Juice Global Village pineapple,0.01
18:55:30,Camera,Juice Global Village pineapple,0.01
18:55:30,Camera,Juice Global Village pineapple,0.01
18:55:30,Camera,Juice Global Village pineapple,0.01
18:55:30,Camera,Juice Global Village pineapple,0.01
18:55:30,Camera,Juice Global Village pineapple,0.01
18:55:30,Camera,Juice Global Village pineapple,0.01
18:55:30,Camera,Juice Global Village pineapple,0.01
18:55:30,Camera,Juice Global Village pineapple,0.01
18:55:30,Camera,Juice Global Village pineapple,0.01
18:55:31,Camera,Juice Global Village pineapple,0.01
18:55:31,Camera,Juice Global Village pineapple,0.01
18:55:31,Camera,Juice Global Village pineapple,0.01
18:55:31,Camera,Juice Global Village pineapple,0.01
18:55:31,Camera,Juice Global Village pineapple,0.01
18:55:31,Camera,Juice Global Village pineapple,0.01
18:55:31,Camera,Juice Global Village pineapple,0.01
18:55:31,Camera,Juice Global Village pineapple,0.01
18:55:31,Camera,Juice Global Village pineapple,0.01
18:55:32,Camera,Juice Global Village pineapple,0.01
18:55:32,Camera,Juice Global Village pineapple,0.01
18:55:33,Camera,Juice Global Village pineapple,0.01
18:55:33,Camera,Juice Global Village pineapple,0.01
18:55:33,Camera,Juice Global Village pineapple,0.01
18:55:33,Camera,Juice Global Village pineapple,0.01
18:55:33,Camera,Juice Global Village pineapple,0.01
18:55:33,Camera,Juice Global Village pineapple,0.01
18:55:33,Camera,Juice Global Village pineapple,0.01
18:55:34,Camera,Juice Global Village pineapple,0.01
18:55:34,Camera,Juice Global Village pineapple,0.01
18:55:34,Camera,Juice Global Village pineapple,0.01
18:55:34,Camera,Juice Global Village pineapple,0.01
18:55:34,Camera,Juice Global Village pineapple,0.01
18:55:34,Camera,Juice Global Village pineapple,0.01
18:55:34,Camera,Juice Global Village pineapple,0.01
18:55:34,Camera,Juice Global Village pineapple,0.01
18:55:34,Camera,Juice Global Village pineapple,0.01
18:55:34,Camera,Juice Global Village pineapple,0.01
18:55:34,Camera,Juice Global Village pineapple,0.01
18:55:35,Camera,Juice Global Village pineapple,0.01
18:55:35,Camera,Juice Global Village pineapple,0.01
18:55:35,Camera,Juice Global Village pineapple,0.01
18:55:35,Camera,Juice Global Village pineapple,0.01
18:55:35,Camera,Juice Global Village pineapple,0.01
18:55:35,Camera,Juice Global Village pineapple,0.01
