epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.13099,1.08343,3.04122,1.56945,0.00865,1,0.51405,0.36344,0.48531,3.52954,1.3254,3.334e-05,3.334e-05,3.334e-05
2,17.6339,1.08889,3.10493,1.56134,0.00739,1,0.83,0.71475,0.46423,3.50033,1.27119,8.16997e-05,8.16997e-05,8.16997e-05
3,25.9177,1.00592,2.78076,1.5751,0.00741,1,0.61786,0.51251,0.62834,3.55679,1.41335,0.000128079,0.000128079,0.000128079
4,34.0411,0.81304,2.40931,1.42371,0.00965,1,0.665,0.53282,0.72378,3.50278,1.63943,0.000172478,0.000172478,0.000172478
5,42.1532,0.9653,2.09035,1.54444,0.0099,1,0.995,0.77537,0.57025,3.37757,1.46359,0.000214896,0.000214896,0.000214896
6,50.3765,1.09915,1.80865,1.47783,0.00943,1,0.995,0.79671,0.49407,3.22076,1.32105,0.000255334,0.000255334,0.000255334
7,58.5482,0.86803,1.77304,1.34366,0.0088,1,0.995,0.9292,0.48652,3.12319,1.29758,0.000293792,0.000293792,0.000293792
8,66.6076,0.72095,1.63243,1.22696,0.00833,1,0.995,0.92919,0.53087,3.12585,1.30231,0.000330269,0.000330269,0.000330269
9,74.8287,0.90033,1.64514,1.38724,0.00829,1,0.995,0.79668,0.72627,3.14435,1.39835,0.000364766,0.000364766,0.000364766
10,82.9776,0.90785,1.33282,1.34088,0.12485,1,0.995,0.77462,0.72224,2.99187,1.45928,0.000397283,0.000397283,0.000397283
11,91.0641,0.93517,1.35089,1.22757,0.97825,1,0.995,0.87945,0.58079,2.28513,1.40773,0.000427819,0.000427819,0.000427819
12,99.1992,0.79828,1.17793,1.37351,1,0.97891,0.995,0.8297,0.61175,2.07361,1.3648,0.000456375,0.000456375,0.000456375
13,107.384,0.79147,1.14293,1.2202,0.74106,1,0.9125,0.72218,0.75144,1.98882,1.56414,0.00048295,0.00048295,0.00048295
14,115.467,0.96224,1.70257,1.9265,0.99161,1,0.995,0.82969,0.71816,1.99816,1.4964,0.000507545,0.000507545,0.000507545
15,123.721,1.30573,1.80708,1.70189,0.9851,1,0.995,0.84655,0.65679,1.97348,1.53269,0.000530159,0.000530159,0.000530159
16,131.889,1.61558,2.96094,1.87944,0.98367,1,0.995,0.8633,0.6568,2.04392,1.6125,0.000550793,0.000550793,0.000550793
17,140.399,0.89998,1.21085,1.35622,0.96357,1,0.995,0.8626,0.75184,2.09908,2.0275,0.000569447,0.000569447,0.000569447
18,148.48,0.90077,1.51535,1.51855,0.96368,1,0.995,0.8955,0.80757,2.0747,2.12325,0.000586121,0.000586121,0.000586121
19,156.616,0.72187,1.06982,1.32702,0.95855,1,0.995,0.80725,0.96315,2.07699,2.2213,0.000600813,0.000600813,0.000600813
20,164.732,0.79262,1.13351,1.27537,0.96073,1,0.995,0.72925,1.05656,2.07157,2.06059,0.000613526,0.000613526,0.000613526
21,172.93,0.88516,2.06857,1.41507,0.98593,1,0.995,0.71016,1.02535,1.96488,1.94998,0.000624258,0.000624258,0.000624258
22,181.23,0.69215,1.14243,1.19126,0.98335,1,0.995,0.85159,0.85138,1.87742,1.63991,0.00063301,0.00063301,0.00063301
23,189.493,1.18573,1.49345,1.82197,0.98225,1,0.995,0.89619,0.73191,1.73701,1.49124,0.000639781,0.000639781,0.000639781
24,197.848,0.89215,1.27392,1.28278,0.98229,1,0.995,0.87943,0.68089,1.81798,1.35202,0.000644572,0.000644572,0.000644572
25,206.002,0.65575,1.12933,1.22297,0.9819,1,0.995,0.82969,0.80979,1.7764,1.462,0.000647383,0.000647383,0.000647383
26,214.158,0.82089,1.92396,1.27478,0.977,1,0.995,0.79679,0.85515,1.94039,1.55364,0.000648213,0.000648213,0.000648213
27,222.221,0.66765,0.98093,1.4047,0.97996,1,0.995,0.8297,0.82789,1.98912,1.47164,0.000647063,0.000647063,0.000647063
28,230.36,1.43484,2.05455,2.4323,0.93407,1,0.995,0.6308,0.75798,1.99334,1.44638,0.000643932,0.000643932,0.000643932
29,238.559,1.02229,1.96349,1.61834,0.93407,1,0.995,0.6308,0.75798,1.99334,1.44638,0.000638821,0.000638821,0.000638821
30,246.726,1.17468,1.61614,1.82408,0.73147,0.92586,0.83,0.747,0.69458,2.08643,1.41226,0.00063173,0.00063173,0.00063173
31,254.911,1.00404,1.14774,1.6001,0.57703,1,0.83,0.69178,0.60627,2.20218,1.34068,0.000622658,0.000622658,0.000622658
32,263.113,0.66506,1.02767,1.20781,0.76382,1,0.995,0.59734,0.65919,2.22915,1.32183,0.000611606,0.000611606,0.000611606
33,271.309,0.83429,1.07536,1.2448,0.76382,1,0.995,0.59734,0.65919,2.22915,1.32183,0.000598573,0.000598573,0.000598573
34,279.882,0.82941,1.2061,1.2206,0.94229,1,0.995,0.60836,0.77232,2.17936,1.46615,0.000577782,0.000577782,0.000577782
35,287.765,1.06613,1.83852,1.83427,0.94804,1,0.995,0.58571,0.76507,2.20245,1.49317,0.000544776,0.000544776,0.000544776
36,296.093,0.62966,0.95444,1.16982,0.98217,1,0.995,0.73509,0.73904,1.64193,1.51961,0.000511769,0.000511769,0.000511769
37,304.215,0.7444,1.08705,1.2084,0.98217,1,0.995,0.73509,0.73904,1.64193,1.51961,0.000478762,0.000478762,0.000478762
38,312.408,0.78858,1.00742,1.35911,0.98194,1,0.995,0.77504,0.7333,1.47339,1.64042,0.000445756,0.000445756,0.000445756
39,320.496,1.06227,1.41762,1.41097,0.98507,1,0.995,0.81363,0.7597,1.40913,1.74196,0.000412749,0.000412749,0.000412749
40,328.447,0.61585,1.10982,1.21795,0.98475,1,0.995,0.81363,0.82159,1.38319,1.91667,0.000379743,0.000379743,0.000379743
41,336.354,0.80741,1.99166,1.31105,0.98475,1,0.995,0.81363,0.82159,1.38319,1.91667,0.000346736,0.000346736,0.000346736
42,344.246,0.74945,1.91418,1.42799,0.98598,1,0.995,0.73114,0.90593,1.35726,2.08421,0.000313729,0.000313729,0.000313729
43,352.199,0.61255,1.74274,1.45632,0.98711,1,0.995,0.69788,1.04454,1.4895,2.27021,0.000280723,0.000280723,0.000280723
44,359.996,1.16771,2.87982,1.84907,0.98833,1,0.995,0.69787,1.08274,1.64974,2.36249,0.000247716,0.000247716,0.000247716
45,367.737,0.7775,1.54965,1.55637,0.98833,1,0.995,0.69787,1.08274,1.64974,2.36249,0.00021471,0.00021471,0.00021471
46,375.528,0.86185,1.51359,1.3204,0.98963,1,0.995,0.77537,1.07271,1.78898,2.29527,0.000181703,0.000181703,0.000181703
47,383.258,0.59167,1.50543,1.30169,0.99025,1,0.995,0.77536,1.03866,1.7698,2.24874,0.000148696,0.000148696,0.000148696
48,390.992,0.43272,1.28694,1.13817,0.98817,1,0.995,0.77535,1.03483,1.69628,2.27744,0.00011569,0.00011569,0.00011569
49,398.696,0.58419,1.30341,1.4053,0.98817,1,0.995,0.77535,1.03483,1.69628,2.27744,8.26832e-05,8.26832e-05,8.26832e-05
50,406.476,0.49966,1.49057,1.34429,0.98688,1,0.995,0.76376,0.98163,1.63608,2.14359,4.96766e-05,4.96766e-05,4.96766e-05
